date_id,date_id,Biomass,Grid emission factor,Hard Coal,Hydro,Lignite,Natural Gas,Nuclear,Other,Pumped storage generation,Solar,Conventional,Total electricity demand,Total grid emissions,Wind offshore,Wind onshore,Total Renewables,Total Conventional,Renewable share,Conventional share
2023-08-01T00:00:00,2023-08-01T00:00:00,4.315,249.338,1.31,2.128,3.871,5.177,0,2.454,0.419,0,13.231,43.673,9744.892,1.08,19.13,26.653,13.231,66.82629626,33.17370374
2023-08-01T01:00:00,2023-08-01T01:00:00,4.295,250.02,1.31,2.164,3.87,5.122,0,2.398,0.26,0,12.96,42.567,9624.365,1.034,18.863,26.356,12.96,67.03632109,32.96367891
2023-08-01T02:00:00,2023-08-01T02:00:00,4.262,256.279,1.314,2.131,3.846,5.094,0,2.394,0.198,0,12.847,43.801,9581.077,1.01,17.972,25.375,12.846,66.39020434,33.60979566
2023-08-01T03:00:00,2023-08-01T03:00:00,4.257,258.796,1.326,2.02,3.853,5.109,0,2.393,0.208,0,12.889,43.749,9605.164,0.97,17.815,25.062,12.889,66.03778557,33.96221443
2023-08-01T04:00:00,2023-08-01T04:00:00,4.272,261.895,1.329,2.023,3.999,5.084,0,2.388,0.108,0,12.907,45.05,9742.22,1.64,17.203,25.138,12.908,66.0726489,33.9273511
2023-08-01T05:00:00,2023-08-01T05:00:00,4.301,266.662,1.382,2.064,4.484,5.188,0,2.362,0.258,0.018,13.675,47.378,10325.408,2.198,17.263,25.844,13.674,65.39804646,34.60195354
2023-08-01T06:00:00,2023-08-01T06:00:00,4.458,263.806,1.475,2.102,4.879,5.305,0,2.363,0.365,0.377,14.387,52.65,10892.127,2.658,18.052,27.647,14.387,65.77294571,34.22705429
2023-08-01T07:00:00,2023-08-01T07:00:00,4.601,254.317,1.691,2.251,4.946,5.462,0,2.395,1.183,1.602,15.677,56.395,11280.167,2.83,18.064,29.348,15.677,65.1815658,34.8184342
2023-08-01T08:00:00,2023-08-01T08:00:00,4.596,248.636,2.323,2.263,4.726,5.472,0,2.395,1.88,3.688,16.797,59.16,11588.825,2.66,17.264,30.471,16.796,64.46569488,35.53430512
2023-08-01T09:00:00,2023-08-01T09:00:00,4.482,245.197,2.704,2.145,4.559,5.59,0,2.504,0.459,6.98,15.815,61.847,11860.1,2.527,17.03,33.164,15.816,67.70926909,32.29073091
2023-08-01T10:00:00,2023-08-01T10:00:00,4.407,223.683,2.762,2.183,4.347,5.719,0,2.704,0.409,11.574,15.94,64.023,11896.39,2.323,17.309,37.796,15.941,70.33515083,29.66484917
2023-08-01T11:00:00,2023-08-01T11:00:00,4.391,200.151,2.619,2.184,4.163,5.923,0,2.671,0.125,16.082,15.501,66.89,11678.978,2.164,18.497,43.318,15.501,73.64627076,26.35372924
2023-08-01T12:00:00,2023-08-01T12:00:00,4.28,184.238,2.733,2.253,4.045,5.786,0,2.506,0.168,19.238,15.239,67.251,11484.502,2.05,19.797,47.618,15.238,75.7572865,24.2427135
2023-08-01T13:00:00,2023-08-01T13:00:00,4.229,175.206,2.823,2.269,4.065,5.519,0,2.516,0.044,22.184,14.967,67.421,11450.125,2.551,19.785,51.018,14.967,77.31757218,22.68242782
2023-08-01T14:00:00,2023-08-01T14:00:00,4.23,168.914,2.822,2.304,4.031,5.466,0,2.791,0.034,24.038,15.143,66.876,11560.05,3.092,20.283,53.947,15.144,78.08108147,21.91891853
2023-08-01T15:00:00,2023-08-01T15:00:00,4.252,164.233,2.642,2.283,4.027,5.341,0,2.724,0.073,24.119,14.806,66.141,11299.41,3.371,20.679,54.704,14.807,78.69833552,21.30166448
2023-08-01T16:00:00,2023-08-01T16:00:00,4.306,167.038,2.555,2.269,3.999,5.294,0,2.462,0.028,21.183,14.338,63.649,11015.955,3.519,21.064,52.341,14.338,78.49697806,21.50302194
